Date,Sleep Time (hrs),Total Steps,Total Calories,Resting Heart Rate,HRV (ms),VO2 Max,Respiration Rate,Blood Ox (SpO2) %,Activities
2026-02-16,8.4,18685,3121.0,46,100,Not Recorded,12.35,Not Recorded,Not Recorded
2026-02-17,7.5,16740,3137.0,47,85,Not Recorded,12.32,Not Recorded,Not Recorded
2026-02-18,7.01,15206,2885.0,52,58,Not Recorded,13.03,Not Recorded,Not Recorded
2026-02-19,8.78,15805,3058.0,50,73,Not Recorded,12.42,Not Recorded,Not Recorded
2026-02-20,8.08,22351,3366.0,47,85,Not Recorded,10.51,Not Recorded,Not Recorded
2026-02-21,7.97,13626,2633.0,48,85,Not Recorded,12.3,Not Recorded,Not Recorded
2026-02-22,8.77,4735,2358.0,44,92,Not Recorded,11.39,Not Recorded,Not Recorded
2026-02-23,7.83,18359,3072.0,51,Not Recorded,Not Recorded,7.92,Not Recorded,Not Recorded
2026-02-24,7.8,13852,3026.0,47,85,Not Recorded,12.56,Not Recorded,Not Recorded
2026-02-25,7.8,15805,2841.0,49,75,Not Recorded,11.97,Not Recorded,Not Recorded
2026-02-26,8.4,12043,2781.0,49,80,Not Recorded,12.37,Not Recorded,Not Recorded
2026-02-27,5.57,12785,2633.0,52,49,Not Recorded,10.75,Not Recorded,Not Recorded
2026-02-28,Not Recorded,7806,2515.0,50,Not Recorded,Not Recorded,7.07,Not Recorded,Not Recorded
2026-03-01,9.21,4398,2359.0,47,91,Not Recorded,14.18,Not Recorded,Not Recorded
2026-03-02,8.22,16530,2984.0,45,97,Not Recorded,11.81,Not Recorded,Not Recorded
2026-03-03,8.33,13837,2954.0,47,96,Not Recorded,12.27,Not Recorded,Not Recorded
2026-03-04,7.99,16730,2902.0,49,81,Not Recorded,12.09,Not Recorded,Not Recorded
2026-03-05,8.35,12478,2658.0,50,76,Not Recorded,13.01,Not Recorded,Not Recorded
2026-03-06,6.25,26396,3336.0,50,72,Not Recorded,11.97,Not Recorded,Not Recorded
2026-03-07,8.88,4832,2390.0,45,87,Not Recorded,10.37,Not Recorded,Not Recorded
2026-03-08,8.36,3073,2212.0,45,96,Not Recorded,12.84,Not Recorded,Not Recorded
2026-03-09,Not Recorded,11810,2892.0,45,Not Recorded,Not Recorded,6.23,Not Recorded,Not Recorded
2026-03-10,7.43,11479,3086.0,44,107,Not Recorded,12.4,Not Recorded,Not Recorded
2026-03-11,6.48,9552,2903.0,46,86,Not Recorded,11.85,Not Recorded,Not Recorded
2026-03-12,4.16,8530,2769.0,43,88,Not Recorded,7.81,Not Recorded,Not Recorded
2026-03-13,9.13,20503,3177.0,43,100,Not Recorded,10.78,Not Recorded,Not Recorded
2026-03-14,6.81,7713,2481.0,47,94,Not Recorded,9.65,Not Recorded,Not Recorded
2026-03-15,Not Recorded,4715,2349.0,47,Not Recorded,Not Recorded,6.37,Not Recorded,Not Recorded
2026-03-16,7.72,15255,2819.0,43,104,Not Recorded,9.51,Not Recorded,Not Recorded
2026-03-17,7.9,12555,2934.0,42,111,Not Recorded,9.44,Not Recorded,Not Recorded
2026-03-18,3.79,11136,1660.0,45,95,Not Recorded,8.99,Not Recorded,Not Recorded
